Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Dirk Nowitzki,DAL,.817,16.3,78,78,2820,673,1341,601,1168,72,173,498,551,122,571,693,263,52,62,167,171,1916,.502,.515,.416,.904
LeBron James,CLE,.610,13.7,78,78,3190,772,1621,673,1311,99,310,489,701,83,443,526,470,125,55,250,171,2132,.476,.513,.319,.698
Kobe Bryant,LAL,.512,13.0,77,77,3140,813,1757,676,1359,137,398,667,768,75,364,439,413,111,36,255,205,2430,.463,.497,.344,.868
Tim Duncan,SAS,.707,13.0,80,80,2726,618,1131,617,1122,1,9,362,568,213,633,846,273,66,190,224,203,1599,.546,.550,.111,.637
Steve Nash,PHO,.744,12.6,76,76,2682,517,971,361,628,156,343,222,247,30,239,269,884,57,6,287,117,1412,.532,.575,.455,.899
Shawn Marion,PHO,.744,12.0,80,80,3010,561,1071,481,819,80,252,201,248,172,613,785,134,156,122,114,216,1403,.524,.587,.317,.810
Elton Brand,LAC,.488,11.5,80,80,3077,645,1211,644,1210,1,1,351,461,268,476,744,235,77,179,202,238,1642,.533,.532,1.000,.761
Chauncey Billups,DET,.646,11.4,70,70,2533,348,815,239,499,109,316,386,437,23,214,237,502,84,17,140,161,1191,.427,.479,.345,.883
Luol Deng,CHI,.598,11.3,82,82,3071,630,1218,629,1211,1,7,279,359,148,431,579,204,97,48,153,167,1540,.517,.519,.143,.777
Amar'e Stoudemire,PHO,.744,11.2,82,78,2689,607,1055,607,1052,0,3,457,585,222,564,786,84,78,110,232,295,1671,.575,.577,.000,.781
Gilbert Arenas,WAS,.500,10.8,74,73,2942,647,1548,442,964,205,584,606,718,61,277,338,443,139,13,236,249,2105,.418,.459,.351,.844
Jason Terry,DAL,.817,10.8,81,80,2846,514,1063,352,693,162,370,160,199,41,190,231,422,81,17,152,170,1350,.484,.508,.438,.804
Kevin Garnett,MIN,.390,10.7,76,76,2995,638,1341,626,1285,12,56,416,498,183,792,975,313,89,126,205,184,1704,.476,.487,.214,.835
Manu Ginobili,SAS,.707,10.6,75,36,2060,396,854,268,531,128,323,320,372,59,268,327,263,109,27,157,155,1240,.464,.505,.396,.860
Vince Carter,NJN,.500,10.5,82,82,3126,726,1598,570,1161,156,437,462,576,114,378,492,393,82,30,217,266,2070,.454,.491,.357,.802
Kevin Martin,SAC,.402,10.2,80,80,2818,505,1067,378,734,127,333,481,570,69,273,342,173,98,11,135,181,1618,.473,.515,.381,.844
Kirk Hinrich,CHI,.598,10.1,80,80,2839,475,1061,335,724,140,337,237,284,32,242,274,500,100,23,191,274,1327,.448,.463,.415,.835
Carlos Boozer,UTA,.622,9.9,74,74,2557,647,1154,647,1154,0,0,255,372,235,632,867,221,70,21,194,217,1549,.561,.561,,.685
Dwight Howard,ORL,.488,9.7,82,82,3023,526,873,525,871,1,2,390,666,283,725,1008,158,70,156,317,245,1443,.603,.603,.500,.586
Chris Bosh,TOR,.573,9.6,69,69,2658,543,1094,531,1059,12,35,463,590,186,555,741,175,39,90,179,163,1561,.496,.501,.343,.785
Tony Parker,SAS,.707,9.6,77,77,2499,570,1096,555,1058,15,38,274,350,34,216,250,420,82,6,191,137,1429,.520,.525,.395,.783
Jason Kidd,NJN,.500,9.3,80,80,2933,369,908,245,547,124,361,179,230,135,520,655,736,127,23,213,146,1041,.406,.448,.343,.778
