Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Shaquille O'Neal,LAL,.817,18.6,79,79,3163,956,1665,956,1664,0,1,432,824,336,742,1078,299,36,239,223,255,2344,.574,.575,.000,.524
Karl Malone,UTA,.671,15.3,82,82,2947,752,1476,750,1468,2,8,589,739,169,610,779,304,79,71,231,229,2095,.509,.511,.250,.797
Gary Payton,SEA,.549,13.9,82,82,3425,747,1666,570,1146,177,520,311,423,100,429,529,732,153,18,224,178,1982,.448,.497,.340,.735
Tim Duncan,SAS,.646,13.0,74,74,2875,628,1281,627,1270,1,11,459,603,262,656,918,234,66,165,242,210,1716,.490,.494,.091,.761
Alonzo Mourning,MIA,.634,12.9,79,78,2748,652,1184,652,1180,0,4,414,582,215,538,753,123,40,294,217,308,1718,.551,.553,.000,.711
David Robinson,SAS,.646,12.7,80,80,2557,528,1031,528,1029,0,2,371,511,193,577,770,142,97,183,164,247,1427,.512,.513,.000,.726
Vince Carter,TOR,.549,11.8,82,82,3126,788,1696,693,1460,95,236,436,551,150,326,476,322,110,92,178,263,2107,.465,.475,.403,.791
Kevin Garnett,MIN,.610,11.6,81,81,3243,759,1526,729,1445,30,81,309,404,223,733,956,401,120,126,268,205,1857,.497,.504,.370,.765
John Stockton,UTA,.671,11.2,82,82,2432,363,725,320,604,43,121,221,257,45,170,215,703,143,15,179,192,990,.501,.530,.355,.860
Grant Hill,DET,.512,10.7,74,74,2776,696,1422,662,1324,34,98,480,604,97,393,490,385,103,43,240,190,1906,.489,.500,.347,.795
Chris Webber,SAC,.537,10.7,75,75,2880,748,1548,721,1453,27,95,311,414,189,598,787,345,120,128,218,264,1834,.483,.496,.284,.751
Kobe Bryant,LAL,.817,10.6,66,62,2524,554,1183,508,1039,46,144,331,403,108,308,416,323,106,62,182,220,1485,.468,.489,.319,.821
Steve Smith,POR,.720,10.4,82,81,2689,420,900,324,659,96,241,289,340,123,190,313,209,71,31,117,214,1225,.467,.492,.398,.850
Ray Allen,MIL,.512,10.1,82,82,3070,642,1411,470,1004,172,407,353,398,83,276,359,308,110,19,183,187,1809,.455,.468,.423,.887
Eddie Jones,CHH,.598,10.1,72,72,2807,478,1119,350,778,128,341,362,419,81,262,343,305,192,49,160,176,1446,.427,.450,.375,.864
Reggie Miller,IND,.683,10.1,81,81,2987,466,1041,301,637,165,404,373,406,50,189,239,187,85,25,129,126,1470,.448,.473,.408,.919
Dikembe Mutombo,ATL,.341,9.9,82,82,2984,322,573,322,573,0,0,298,421,304,853,1157,105,27,269,174,248,942,.562,.562,,.708
Clifford Robinson,PHO,.646,9.6,80,67,2839,530,1142,410,818,120,324,298,381,105,254,359,224,90,61,166,239,1478,.464,.501,.370,.782
Rasheed Wallace,POR,.720,9.3,81,77,2845,542,1045,534,995,8,50,233,331,129,437,566,142,87,107,157,216,1325,.519,.537,.160,.704
Sam Cassell,MIL,.512,9.2,81,81,2899,545,1170,519,1080,26,90,390,445,69,232,301,729,102,8,267,255,1506,.466,.481,.289,.876
Glen Rice,LAL,.817,9.0,80,80,2530,421,980,337,751,84,229,346,396,56,271,327,176,47,12,114,179,1272,.430,.449,.367,.874
Anthony Mason,CHH,.598,8.9,82,81,3133,317,661,317,660,0,1,314,421,145,554,699,367,74,29,160,220,948,.480,.480,.000,.746
Shareef Abdur-Rahim,VAN,.268,8.8,82,82,3223,594,1277,565,1181,29,96,446,551,218,607,825,271,89,87,249,244,1663,.465,.478,.302,.809
Bryon Russell,UTA,.671,8.8,82,70,2900,408,914,302,646,106,268,237,316,99,328,427,158,128,23,101,255,1159,.446,.467,.396,.750
Terrell Brandon,MIN,.610,8.6,71,71,2587,486,1042,433,910,53,132,187,208,44,194,238,629,134,30,184,158,1212,.466,.476,.402,.899
Allan Houston,NYK,.610,8.6,82,82,3169,614,1271,508,1028,106,243,280,334,38,233,271,224,65,14,186,219,1614,.483,.494,.436,.838
Jason Kidd,PHO,.646,8.5,67,67,2616,350,855,294,689,56,166,203,245,96,387,483,678,134,28,226,148,959,.409,.427,.337,.829
