Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Kareem Abdul-Jabbar,LAL,.659,14.3,80,,2976,836,1457,836,1456,0,1,423,552,197,624,821,272,59,228,249,244,2095,.574,.574,.000,.766
Julius Erving,PHI,.756,13.8,82,,2874,794,1524,790,1506,4,18,422,536,244,413,657,364,173,147,266,233,2014,.521,.525,.222,.787
Moses Malone,HOU,.488,13.7,80,,3245,806,1545,805,1542,1,3,609,804,474,706,1180,141,83,150,308,223,2222,.522,.522,.333,.757
Adrian Dantley,UTA,.341,13.6,80,,3417,909,1627,907,1620,2,7,632,784,192,317,509,322,109,18,282,245,2452,.559,.560,.286,.806
Artis Gilmore,CHI,.549,12.3,82,,2832,547,816,547,816,0,0,375,532,220,608,828,172,47,198,236,295,1469,.670,.670,,.705
Marques Johnson,MIL,.732,11.2,76,,2542,636,1153,636,1144,0,9,269,381,225,293,518,346,115,41,190,196,1541,.552,.556,.000,.706
Cedric Maxwell,BOS,.756,11.0,81,81,2730,441,750,441,749,0,1,352,450,222,303,525,219,79,68,180,256,1234,.588,.589,.000,.782
Robert Parish,BOS,.756,10.9,82,78,2298,635,1166,635,1165,0,1,282,397,245,532,777,144,81,214,191,310,1552,.545,.545,.000,.710
Larry Bird,BOS,.756,10.8,82,82,3239,719,1503,699,1429,20,74,283,328,191,704,895,451,161,63,289,239,1741,.478,.489,.270,.863
George Gervin,SAS,.634,10.5,82,,2765,850,1729,841,1694,9,35,512,620,126,293,419,260,94,56,251,212,2221,.492,.496,.257,.826
Dan Issel,DEN,.451,10.5,80,,2641,614,1220,612,1208,2,12,519,684,229,447,676,158,83,53,130,249,1749,.503,.507,.167,.759
Bill Cartwright,NYK,.610,10.0,82,,2925,619,1118,619,1117,0,1,408,518,161,452,613,111,48,83,200,259,1646,.554,.554,.000,.788
Sidney Moncrief,MIL,.732,9.9,80,,2417,400,739,398,730,2,9,320,398,186,220,406,264,90,37,145,156,1122,.541,.545,.222,.804
Bobby Jones,PHI,.756,9.2,81,,2046,407,755,407,752,0,3,282,347,142,293,435,226,95,74,149,226,1096,.539,.541,.000,.813
Reggie Theus,CHI,.549,9.2,82,,2820,543,1097,525,1007,18,90,445,550,124,163,287,426,122,20,259,258,1549,.495,.521,.200,.809
Bernard King,GSW,.476,9.1,81,,2914,731,1244,729,1238,2,6,307,437,178,373,551,287,72,34,265,304,1771,.588,.589,.333,.703
Swen Nater,SDC,.439,8.6,82,,2809,517,935,517,935,0,0,244,307,295,722,1017,199,49,46,211,295,1278,.553,.553,,.795
Maurice Cheeks,PHI,.756,8.5,81,,2415,310,581,307,573,3,8,140,178,67,178,245,560,193,39,174,231,763,.534,.536,.375,.787
Jamaal Wilkes,LAL,.659,8.5,81,,3028,786,1495,785,1482,1,13,254,335,146,289,435,235,121,29,207,223,1827,.526,.530,.077,.758
Dennis Johnson,PHO,.695,8.4,79,,2615,532,1220,521,1169,11,51,411,501,160,203,363,291,136,61,208,244,1486,.436,.446,.216,.820
Billy Knight,IND,.537,8.4,82,,2385,546,1025,543,1006,3,19,341,410,191,219,410,157,84,12,177,155,1436,.533,.540,.158,.832
Alex English,DEN,.451,8.3,81,,3093,768,1555,765,1550,3,5,390,459,273,373,646,290,106,100,241,255,1929,.494,.494,.600,.850
Reggie King,KCK,.488,8.3,81,,2743,472,867,472,867,0,0,264,386,235,551,786,122,102,41,164,227,1208,.544,.544,,.684
Otis Birdsong,KCK,.488,8.2,71,,2593,710,1306,700,1271,10,35,317,455,119,139,258,233,93,18,173,172,1747,.544,.551,.286,.697
Jack Sikma,SEA,.415,8.0,82,,2920,595,1311,595,1306,0,5,340,413,184,668,852,248,78,93,201,282,1530,.454,.456,.000,.823
Alvan Adams,PHO,.695,7.7,75,,2054,458,870,458,870,0,0,199,259,157,389,546,344,106,69,226,226,1115,.526,.526,,.768
Jim Paxson,POR,.549,7.7,79,,2701,585,1092,583,1062,2,30,182,248,74,137,211,299,140,9,131,172,1354,.536,.549,.067,.734
Truck Robinson,PHO,.695,7.6,82,,3088,647,1280,647,1280,0,0,249,396,216,573,789,206,68,38,250,220,1543,.505,.505,,.629
World B. Free,GSW,.476,7.4,65,,2370,516,1157,511,1126,5,31,528,649,48,111,159,361,85,11,195,183,1565,.446,.454,.161,.814
Robert Reid,HOU,.488,7.2,82,,2963,536,1113,536,1109,0,4,229,303,164,419,583,344,163,66,198,325,1301,.482,.483,.000,.756
Ray Williams,NYK,.610,7.2,79,,2742,616,1335,600,1267,16,68,312,382,122,199,321,432,185,37,235,270,1560,.461,.474,.235,.817
Walter Davis,PHO,.695,7.1,78,,2182,593,1101,586,1084,7,17,209,250,63,137,200,302,97,12,222,192,1402,.539,.541,.412,.836
