Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Kareem Abdul-Jabbar,MIL,.768,25.4,81,,3583,1159,2019,1159,2019,,,504,732,,,1346,370,,,,235,2822,.574,.574,,.689
Artis Gilmore,KEN,,19.8,84,,3666,806,1348,806,1348,0,0,391,605,421,1070,1491,230,,422,335,280,2003,.598,.598,,.646
Wilt Chamberlain,LAL,.841,15.8,82,,3469,496,764,496,764,,,221,524,,,1572,329,,,,196,1213,.649,.649,,.422
Zelmo Beaty,UTS,,15.1,84,,3133,729,1353,729,1346,0,7,522,630,355,755,1110,125,,,223,315,1980,.539,.542,.000,.829
Walt Frazier,NYK,.585,14.5,77,,3126,669,1307,669,1307,,,450,557,,,513,446,,,,185,1788,.512,.512,,.808
Chet Walker,CHI,.695,14.5,78,,2588,619,1225,619,1225,,,481,568,,,473,178,,,,171,1719,.505,.505,,.847
Dan Issel,KEN,,13.5,83,,3570,972,2001,969,1990,3,11,591,753,353,578,931,195,,,244,242,2538,.486,.487,.273,.785
Julius Erving,VIR,,13.3,84,,3513,910,1826,907,1810,3,16,467,627,476,843,1319,335,,,342,264,2290,.498,.501,.188,.745
Jerry West,LAL,.841,13.3,77,,2973,735,1540,735,1540,,,515,633,,,327,747,,,,209,1985,.477,.477,,.814
Tiny Archibald,CIN,.366,12.9,76,,3272,734,1511,734,1511,,,677,824,,,222,701,,,,198,2145,.486,.486,,.822
John Havlicek,BOS,.683,12.4,82,,3698,897,1957,897,1957,,,458,549,,,672,614,,,,183,2252,.458,.458,,.834
Gail Goodrich,LAL,.841,12.3,82,,3040,826,1695,826,1695,,,475,559,,,295,365,,,,210,2127,.487,.487,,.850
Jerry Lucas,NYK,.585,11.2,77,,2926,543,1060,543,1060,,,197,249,,,1011,318,,,,218,1283,.512,.512,,.791
Willie Wise,UTS,,11.2,84,,3300,743,1471,737,1453,6,18,459,633,282,612,894,286,,,282,299,1951,.505,.507,.333,.725
Rick Barry,NYA,,11.1,80,,3616,902,1969,829,1732,73,237,641,730,155,447,602,327,,,263,261,2518,.458,.479,.308,.878
Archie Clark,TOT,,11.0,77,,3285,712,1516,712,1516,,,514,667,,,268,613,,,,194,1938,.470,.470,,.771
Paul Silas,PHO,.598,11.0,80,,3082,485,1031,485,1031,,,433,560,,,955,343,,,,201,1403,.470,.470,,.773
Dave Cowens,BOS,.683,10.4,79,,3186,657,1357,657,1357,,,175,243,,,1203,245,,,,314,1489,.484,.484,,.720
Dick Van Arsdale,PHO,.598,10.4,82,,3096,545,1178,545,1178,,,529,626,,,334,297,,,,232,1619,.463,.463,,.845
Walt Bellamy,ATL,.439,10.3,82,,3187,593,1089,593,1089,,,340,581,,,1049,262,,,,255,1526,.545,.545,,.585
Mel Daniels,INA,,10.3,79,,2971,598,1184,598,1178,0,6,317,451,383,914,1297,176,,,239,289,1513,.505,.508,.000,.703
Jeff Mullins,GSW,.622,9.9,80,,3214,685,1466,685,1466,,,350,441,,,444,471,,,,260,1720,.467,.467,,.794
Lou Hudson,ATL,.439,9.7,77,,3042,775,1540,775,1540,,,349,430,,,385,309,,,,225,1899,.503,.503,,.812
Connie Hawkins,PHO,.598,9.6,76,,2798,571,1244,571,1244,,,456,565,,,633,296,,,,235,1598,.459,.459,,.807
Lenny Wilkens,SEA,.573,9.6,80,,2989,479,1027,479,1027,,,480,620,,,338,766,,,,209,1438,.466,.466,,.774
Roger Brown,INA,,9.3,78,,2987,532,1112,475,927,57,185,323,401,163,339,502,306,,,214,227,1444,.478,.512,.308,.805
Happy Hairston,LAL,.841,9.2,80,,2748,368,798,368,798,,,311,399,,,1045,193,,,,251,1047,.461,.461,,.779
Bob Dandridge,MIL,.768,9.1,80,,2957,630,1264,630,1264,,,215,291,,,613,249,,,,297,1475,.498,.498,,.739
Jack Marin,BAL,.463,9.1,78,,2927,690,1444,690,1444,,,356,398,,,528,169,,,,240,1736,.478,.478,,.894
Nate Thurmond,GSW,.622,9.0,78,,3362,628,1454,628,1454,,,417,561,,,1252,230,,,,214,1673,.432,.432,,.743
Donnie Freeman,DLC,,8.9,72,,2377,628,1336,626,1331,2,5,475,576,100,106,206,245,,,176,177,1733,.470,.470,.400,.825
Don Nelson,BOS,.683,8.8,82,,2086,389,811,389,811,,,356,452,,,453,192,,,,220,1134,.480,.480,,.788
Spencer Haywood,SEA,.573,8.7,73,,3167,717,1557,717,1557,,,480,586,,,926,148,,,,208,1914,.461,.461,,.819
Clifford Ray,CHI,.695,8.7,82,,1872,222,445,222,445,,,134,218,,,869,254,,,,296,578,.499,.499,,.615
Mack Calvin,FLO,,8.5,82,,2977,552,1253,541,1205,11,48,611,701,116,158,274,481,,,261,270,1726,.441,.449,.229,.872
Bob Lanier,DET,.317,8.4,80,,3092,834,1690,834,1690,,,388,505,,,1132,248,,,,297,2056,.493,.493,,.768
Bill Melchionni,NYA,,8.4,80,,3326,672,1346,670,1327,2,19,336,416,51,197,248,669,,,314,275,1682,.499,.505,.105,.808
Rudy Tomjanovich,HOU,.415,8.4,78,,2689,500,1010,500,1010,,,172,238,,,923,117,,,,193,1172,.495,.495,,.723
Billy Cunningham,PHI,.366,8.3,75,,2900,658,1428,658,1428,,,428,601,,,918,443,,,,295,1744,.461,.461,,.712
Jimmy Jones,UTS,,8.3,78,,2903,462,903,461,897,1,6,282,362,92,285,377,485,,,270,252,1207,.512,.514,.167,.779
Calvin Murphy,HOU,.415,8.3,82,,2538,571,1255,571,1255,,,349,392,,,258,393,,,,298,1491,.455,.455,,.890
Oscar Robertson,MIL,.768,8.3,64,,2390,419,887,419,887,,,276,330,,,323,491,,,,116,1114,.472,.472,,.836
Wes Unseld,BAL,.463,8.3,76,,3171,409,822,409,822,,,171,272,,,1336,278,,,,218,989,.498,.498,,.629
Louie Dampier,KEN,,8.1,83,,3214,477,1078,393,845,84,233,281,336,43,216,259,515,,,211,237,1319,.442,.465,.361,.836
Larry Jones,FLO,,8.1,66,,2255,423,797,405,737,18,60,300,373,133,176,309,210,,,135,203,1164,.531,.550,.300,.804
Bob Kauffman,BUF,.268,8.0,77,,3205,558,1123,558,1123,,,341,429,,,787,297,,,,273,1457,.497,.497,,.795
Dick Snyder,SEA,.573,8.0,73,,2534,496,937,496,937,,,218,259,,,228,283,,,,200,1210,.529,.529,,.842
