Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Kareem Abdul-Jabbar,LAL,.573,14.4,80,,3157,777,1347,777,1347,,,349,474,207,818,1025,431,76,316,282,230,1903,.577,.577,,.736
Moses Malone,HOU,.573,14.1,82,,3390,716,1325,716,1325,,,599,811,587,857,1444,147,79,119,326,223,2031,.540,.540,,.739
Artis Gilmore,CHI,.378,12.7,82,,3265,753,1310,753,1310,,,434,587,293,750,1043,274,50,156,310,280,1940,.575,.575,,.739
Marques Johnson,MIL,.463,12.2,77,,2779,820,1491,820,1491,,,332,437,212,374,586,234,116,89,170,186,1972,.550,.550,,.760
Cedric Maxwell,BOS,.354,11.7,80,,2969,472,808,472,808,,,574,716,272,519,791,228,98,74,273,266,1518,.584,.584,,.802
George Gervin,SAS,.585,11.4,80,,2888,947,1749,947,1749,,,471,570,142,258,400,219,137,91,286,275,2365,.541,.541,,.826
Tom Owens,POR,.549,10.4,82,,2791,600,1095,600,1095,,,320,403,263,477,740,301,59,58,247,329,1520,.548,.548,,.794
Paul Westphal,PHO,.610,10.4,81,,2641,801,1496,801,1496,,,339,405,35,124,159,529,111,26,232,159,1941,.535,.535,,.837
World B. Free,SDC,.524,10.1,78,,2954,795,1653,795,1653,,,654,865,127,174,301,340,111,35,297,253,2244,.481,.481,,.756
Dan Issel,DEN,.573,9.8,81,,2742,532,1030,532,1030,,,316,419,240,498,738,255,61,46,171,233,1380,.517,.517,,.754
Norm Nixon,LAL,.573,9.6,82,,3145,623,1149,623,1149,,,158,204,48,183,231,737,201,17,231,250,1404,.542,.542,,.775
David Thompson,DEN,.573,9.5,76,,2670,693,1353,693,1353,,,439,583,109,165,274,225,70,82,186,180,1825,.512,.512,,.753
Walter Davis,PHO,.610,9.4,79,,2437,764,1362,764,1362,,,340,409,111,262,373,339,147,26,293,250,1868,.561,.561,,.831
Elvin Hayes,WSB,.659,9.4,82,,3105,720,1477,720,1477,,,349,534,312,682,994,143,75,190,235,308,1789,.487,.487,,.654
John Drew,ATL,.561,8.9,79,,2410,650,1375,650,1375,,,495,677,225,297,522,119,128,16,211,332,1795,.473,.473,,.731
Otis Birdsong,KCK,.585,8.8,82,,2839,741,1456,741,1456,,,296,408,176,178,354,281,125,17,200,255,1778,.509,.509,,.725
Larry Kenon,SAS,.585,8.8,81,,2947,748,1484,748,1484,,,295,349,260,530,790,335,154,19,300,192,1791,.504,.504,,.845
Jack Sikma,SEA,.634,8.8,82,,2958,476,1034,476,1034,,,329,404,232,781,1013,261,82,67,253,295,1281,.460,.460,,.814
Bob Dandridge,WSB,.659,8.7,78,,2629,629,1260,629,1260,,,331,401,109,338,447,365,71,57,222,259,1589,.499,.499,,.825
Dan Roundfield,ATL,.561,8.7,80,,2539,462,916,462,916,,,300,420,326,539,865,131,87,176,209,358,1224,.504,.504,,.714
Wes Unseld,WSB,.659,8.7,77,,2406,346,600,346,600,,,151,235,274,556,830,315,71,37,156,204,843,.577,.577,,.643
Rich Kelley,NOJ,.317,8.6,80,,2705,440,870,440,870,,,373,458,303,723,1026,285,126,166,288,309,1253,.506,.506,,.814
Scott Wedman,KCK,.585,8.6,73,,2498,561,1050,561,1050,,,216,271,135,251,386,144,76,30,106,239,1338,.534,.534,,.797
Gus Williams,SEA,.634,8.3,76,,2266,606,1224,606,1224,,,245,316,111,134,245,307,158,29,190,162,1457,.495,.495,,.775
M.L. Carr,DET,.366,7.9,80,,3207,587,1143,587,1143,,,323,435,219,370,589,262,197,46,255,279,1497,.514,.514,,.743
Julius Erving,PHI,.573,7.9,78,,2802,715,1455,715,1455,,,373,501,198,366,564,357,133,100,315,207,1803,.491,.491,,.745
John Lucas,GSW,.463,7.9,82,,3095,530,1146,530,1146,,,264,321,65,182,247,762,152,9,255,229,1324,.462,.462,,.822
Bobby Jones,PHI,.573,7.7,80,,2304,378,704,378,704,,,209,277,199,332,531,201,107,96,165,245,965,.537,.537,,.755
Alvan Adams,PHO,.610,7.6,77,,2364,569,1073,569,1073,,,231,289,220,485,705,360,110,63,279,246,1369,.530,.530,,.799
James Edwards,IND,.463,7.1,82,,2546,534,1065,534,1065,,,298,441,179,514,693,92,60,109,162,363,1366,.501,.501,,.676
George McGinnis,DEN,.573,7.1,76,,2552,603,1273,603,1273,,,509,765,256,608,864,283,129,52,346,321,1715,.474,.474,,.665
Robert Parish,GSW,.463,7.1,76,,2411,554,1110,554,1110,,,196,281,265,651,916,115,100,217,233,303,1304,.499,.499,,.698
Alex English,IND,.463,7.0,81,,2696,563,1102,563,1102,,,173,230,253,402,655,271,70,78,196,214,1299,.511,.511,,.752
Sonny Parker,GSW,.463,7.0,79,,2893,512,1019,512,1019,,,175,222,164,280,444,291,144,33,193,187,1199,.502,.502,,.788
Bill Robinzine,KCK,.585,6.9,82,,2179,459,837,459,837,,,180,246,218,420,638,104,105,15,179,367,1098,.548,.548,,.732
Kermit Washington,SDC,.524,6.9,82,,2764,350,623,350,623,,,227,330,296,504,800,125,85,121,185,317,927,.562,.562,,.688
Jamaal Wilkes,LAL,.573,6.9,82,,2915,626,1242,626,1242,,,272,362,164,445,609,227,134,27,224,275,1524,.504,.504,,.751
Calvin Murphy,HOU,.573,6.8,82,,2941,707,1424,707,1424,,,246,265,78,95,173,351,117,6,187,288,1660,.496,.496,,.928
Campy Russell,CLE,.366,6.7,74,,2859,603,1268,603,1268,,,417,523,147,356,503,348,98,25,259,222,1623,.476,.476,,.797
Dennis Johnson,SEA,.634,6.6,80,,2717,482,1110,482,1110,,,306,392,146,228,374,280,100,97,191,209,1270,.434,.434,,.781
Bernard King,NJN,.451,6.5,82,,2859,710,1359,710,1359,,,349,619,251,418,669,295,118,39,323,326,1769,.522,.522,,.564
Sam Lacey,KCK,.585,6.5,82,,2627,350,697,350,697,,,167,226,179,523,702,430,106,141,245,309,867,.502,.502,,.739
Kent Benson,MIL,.463,6.4,82,,2132,413,798,413,798,,,180,245,187,397,584,204,89,81,156,280,1006,.518,.518,,.735
Tree Rollins,ATL,.561,6.4,81,,1900,297,555,297,555,,,89,141,219,369,588,49,46,254,87,328,683,.535,.535,,.631
