Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
David Robinson,SAS,.671,20.0,80,80,3241,840,1658,830,1629,10,29,693,925,241,614,855,381,139,265,253,228,2383,.507,.510,.345,.749
Shaquille O'Neal,ORL,.610,16.9,81,81,3224,953,1591,953,1589,0,2,471,850,384,688,1072,195,76,231,222,281,2377,.599,.600,.000,.554
Hakeem Olajuwon,HOU,.707,14.3,80,80,3277,894,1694,886,1675,8,19,388,542,229,726,955,287,128,297,271,289,2184,.528,.529,.421,.716
Karl Malone,UTA,.646,13.4,82,82,3329,772,1552,764,1520,8,32,511,736,235,705,940,328,125,126,234,268,2063,.497,.503,.250,.694
John Stockton,UTA,.646,13.2,82,82,2969,458,868,410,719,48,149,272,338,72,186,258,1031,199,22,266,236,1236,.528,.570,.322,.805
Patrick Ewing,NYK,.695,13.1,79,79,2972,745,1503,741,1489,4,14,445,582,219,666,885,179,90,217,260,275,1939,.496,.498,.286,.765
Shawn Kemp,SEA,.768,11.7,79,73,2597,533,990,532,986,1,4,364,491,312,539,851,207,142,166,259,312,1431,.538,.540,.250,.741
Reggie Miller,IND,.573,11.7,79,79,2638,524,1042,401,750,123,292,403,444,30,182,212,248,119,24,175,193,1574,.503,.535,.421,.908
Scottie Pippen,CHI,.671,11.2,72,72,2759,627,1278,564,1081,63,197,270,409,173,456,629,403,211,58,232,227,1587,.491,.522,.320,.660
Charles Oakley,NYK,.695,10.5,82,82,2932,363,760,363,757,0,3,243,313,349,616,965,218,110,18,193,293,969,.478,.480,.000,.776
Mookie Blaylock,ATL,.695,10.2,81,81,2915,444,1079,330,738,114,341,116,159,117,307,424,789,212,44,196,144,1118,.411,.447,.334,.730
Glen Rice,MIA,.512,10.2,81,81,2999,663,1421,531,1075,132,346,250,284,76,358,434,184,110,32,130,186,1708,.467,.494,.382,.880
Kevin Willis,ATL,.695,10.2,80,80,2867,627,1257,618,1233,9,24,268,376,335,628,963,150,79,38,188,250,1531,.499,.501,.375,.713
Horace Grant,CHI,.671,10.0,70,69,2570,460,878,460,872,0,6,137,230,306,463,769,236,74,84,109,164,1057,.524,.528,.000,.596
Mark Price,CLE,.573,10.0,76,73,2386,480,1005,362,708,118,297,238,268,39,189,228,589,103,11,189,93,1316,.478,.511,.397,.888
Derrick Coleman,NJN,.549,9.9,77,77,2778,541,1209,503,1088,38,121,439,567,262,608,870,262,68,142,208,209,1559,.447,.462,.314,.774
Otis Thorpe,HOU,.707,9.8,82,82,2909,449,801,449,799,0,2,251,382,271,599,870,189,66,28,185,253,1149,.561,.562,.000,.657
Stacey Augmon,ATL,.695,9.7,82,82,2605,439,861,438,854,1,7,333,436,178,216,394,187,149,45,147,179,1212,.510,.513,.143,.764
Dikembe Mutombo,DEN,.512,9.4,82,82,2853,365,642,365,641,0,1,256,439,286,685,971,127,59,336,206,262,986,.569,.569,.000,.583
A.C. Green,PHO,.683,9.3,82,55,2825,465,926,457,891,8,35,266,362,275,478,753,137,70,38,100,142,1204,.502,.513,.229,.735
Gary Payton,SEA,.768,9.3,82,82,2881,584,1159,569,1105,15,54,166,279,105,164,269,494,188,19,173,227,1349,.504,.515,.278,.595
Rod Strickland,POR,.573,9.3,82,58,2889,528,1093,526,1083,2,10,353,471,122,248,370,740,147,24,257,171,1411,.483,.486,.200,.749
Charles Barkley,PHO,.683,8.8,65,65,2298,518,1046,470,868,48,178,318,452,198,529,727,296,101,37,206,160,1402,.495,.541,.270,.704
Kevin Johnson,PHO,.683,8.7,67,67,2449,477,980,471,953,6,27,380,464,55,112,167,637,125,10,235,127,1340,.487,.494,.222,.819
Dennis Rodman,SAS,.671,8.7,79,51,2989,156,292,151,268,5,24,53,102,453,914,1367,184,52,32,138,229,370,.534,.563,.208,.520
Detlef Schrempf,SEA,.768,8.4,81,80,2728,445,903,423,835,22,68,300,390,144,310,454,275,73,9,173,273,1212,.493,.507,.324,.769
Dominique Wilkins,TOT,,8.4,74,74,2635,698,1588,613,1293,85,295,442,522,182,299,481,169,92,30,172,126,1923,.440,.474,.288,.847
Steve Smith,MIA,.512,8.1,78,77,2776,491,1076,400,814,91,262,273,327,156,196,352,394,84,35,202,217,1346,.456,.491,.347,.835
Latrell Sprewell,GSW,.610,8.0,82,82,3533,613,1417,472,1026,141,391,353,456,80,321,401,385,180,76,226,158,1720,.433,.460,.361,.774
Buck Williams,POR,.573,7.9,81,81,2636,291,524,291,523,0,1,201,296,315,528,843,80,58,47,111,239,783,.555,.556,.000,.679
Rik Smits,IND,.573,7.8,78,75,2113,493,923,493,922,0,1,238,300,135,348,483,156,49,82,151,281,1224,.534,.535,.000,.793
Chris Webber,GSW,.610,7.8,76,76,2438,572,1037,572,1023,0,14,189,355,305,389,694,272,93,164,206,247,1333,.552,.559,.000,.532
Nick Anderson,ORL,.610,7.6,81,81,2811,504,1054,403,740,101,314,168,250,113,363,476,294,134,33,165,148,1277,.478,.545,.322,.672
Dale Ellis,SAS,.671,7.6,77,75,2590,478,967,347,635,131,332,83,107,70,185,255,80,66,11,75,141,1170,.494,.546,.395,.776
LaPhonso Ellis,DEN,.512,7.6,79,79,2699,483,963,476,940,7,23,242,359,220,462,682,167,63,80,172,304,1215,.502,.506,.304,.674
Kenny Anderson,NJN,.549,7.5,82,82,3135,576,1381,536,1249,40,132,346,423,89,233,322,784,158,15,266,201,1538,.417,.429,.303,.818
B.J. Armstrong,CHI,.671,7.5,82,82,2770,479,1007,419,872,60,135,194,227,28,142,170,323,80,9,131,147,1212,.476,.481,.444,.855
Clifford Robinson,POR,.573,7.5,82,64,2853,641,1404,628,1351,13,53,352,460,164,386,550,159,118,111,169,263,1647,.457,.465,.245,.765
Vlade Divac,LAL,.402,7.4,79,73,2685,453,895,444,848,9,47,208,303,282,569,851,307,92,112,191,288,1123,.506,.524,.191,.686
Hot Rod Williams,CLE,.573,7.4,76,72,2660,394,825,394,825,0,0,252,346,207,368,575,193,78,130,139,219,1040,.478,.478,,.728
Dan Majerle,PHO,.683,7.3,80,76,3207,476,1138,284,635,192,503,176,238,120,229,349,275,129,43,137,153,1320,.418,.447,.382,.739
Eric Murdock,MIL,.244,7.2,82,76,2533,477,1019,408,851,69,168,234,288,91,170,261,546,197,12,206,189,1257,.468,.479,.411,.813
Anfernee Hardaway,ORL,.610,7.1,82,82,3015,509,1092,459,905,50,187,245,330,192,247,439,544,190,51,292,205,1313,.466,.507,.267,.742
Dale Davis,IND,.573,7.0,66,64,2292,308,582,308,581,0,1,155,294,280,438,718,100,48,106,102,214,771,.529,.530,.000,.527
Sam Perkins,SEA,.768,7.0,81,41,2170,341,779,242,509,99,270,218,272,120,246,366,111,67,31,103,197,999,.438,.475,.367,.801
Jeff Hornacek,TOT,,6.9,80,62,2820,472,1004,402,796,70,208,260,296,60,219,279,419,127,13,171,186,1274,.470,.505,.337,.878
Mahmoud Abdul-Rauf,DEN,.512,6.8,80,78,2617,588,1279,546,1146,42,133,219,229,27,141,168,362,82,10,151,150,1437,.460,.476,.316,.956
Clyde Drexler,POR,.573,6.8,68,68,2334,473,1105,402,886,71,219,286,368,154,291,445,333,98,34,167,202,1303,.428,.454,.324,.777
Armen Gilliam,NJN,.549,6.8,82,5,1969,348,682,348,681,0,1,274,361,197,303,500,69,38,61,106,129,970,.510,.511,.000,.759
Bryant Stith,DEN,.512,6.8,82,82,2853,365,811,363,802,2,9,291,351,119,230,349,199,116,16,131,165,1023,.450,.453,.222,.829
Gerald Wilkins,CLE,.573,6.8,82,82,2768,446,975,362,763,84,212,194,250,106,197,303,255,105,38,131,186,1170,.457,.474,.396,.776
Kendall Gill,SEA,.768,6.7,79,77,2435,429,969,391,849,38,120,215,275,91,177,268,275,151,32,143,194,1111,.443,.461,.317,.782
Rony Seikaly,MIA,.512,6.7,72,60,2410,392,803,392,801,0,2,304,422,244,496,740,136,59,100,195,279,1088,.488,.489,.000,.720
Hersey Hawkins,CHH,.500,6.5,82,82,2648,395,859,317,624,78,235,312,362,89,288,377,216,135,22,158,167,1180,.460,.508,.332,.862
Muggsy Bogues,CHH,.500,6.4,77,77,2746,354,751,352,739,2,12,125,155,78,235,313,780,133,2,171,147,835,.471,.476,.167,.806
Dee Brown,BOS,.390,6.4,77,76,2867,490,1021,460,925,30,96,182,219,63,237,300,347,156,47,126,207,1192,.480,.497,.313,.831
Brad Daugherty,CLE,.573,6.4,50,50,1838,296,606,296,606,0,0,256,326,128,380,508,149,41,36,110,145,848,.488,.488,,.785
Mitch Richmond,SAC,.341,6.4,78,78,2897,635,1428,508,1116,127,312,426,511,70,216,286,313,103,17,216,211,1823,.445,.455,.407,.834
Terry Mills,DET,.244,6.3,80,74,2773,588,1151,564,1078,24,73,181,227,193,479,672,177,64,62,153,309,1381,.511,.523,.329,.797
Alonzo Mourning,CHH,.500,6.3,60,59,2018,427,845,427,843,0,2,433,568,177,433,610,86,27,188,199,207,1287,.505,.507,.000,.762
Steve Kerr,CHI,.671,6.1,82,0,2036,287,577,235,453,52,124,83,97,26,105,131,210,75,3,57,97,709,.497,.519,.419,.856
Kenny Smith,HOU,.707,6.1,78,78,2209,341,711,252,491,89,220,135,155,24,114,138,327,59,4,126,121,906,.480,.513,.405,.871
Vincent Askew,SEA,.768,6.0,80,3,1690,273,567,267,536,6,31,175,211,60,124,184,194,73,19,70,145,727,.481,.498,.194,.829
Nate McMillan,SEA,.768,6.0,73,8,1887,177,396,125,263,52,133,31,55,50,233,283,387,216,22,126,201,437,.447,.475,.391,.564
Clarence Weatherspoon,PHI,.305,6.0,82,82,3147,602,1246,598,1229,4,17,298,430,254,578,832,192,100,116,195,152,1506,.483,.487,.235,.693
Craig Ehlo,ATL,.695,5.9,82,0,2147,316,708,239,487,77,221,112,154,71,208,279,273,136,26,130,161,821,.446,.491,.348,.727
Robert Horry,HOU,.707,5.9,81,81,2370,322,702,278,566,44,136,115,157,128,312,440,231,119,75,137,186,803,.459,.491,.324,.732
Dino Radja,BOS,.390,5.9,80,47,2303,491,942,491,941,0,1,226,301,191,386,577,114,70,67,149,276,1208,.521,.522,.000,.751
John Starks,NYK,.695,5.8,59,54,2057,410,977,297,640,113,337,187,248,37,148,185,348,95,6,184,191,1120,.420,.464,.335,.754
Vinny Del Negro,SAS,.671,5.7,77,56,1949,309,634,294,591,15,43,140,170,27,134,161,320,64,1,102,168,773,.487,.497,.349,.824
Tyrone Hill,CLE,.573,5.7,57,20,1447,216,398,216,396,0,2,171,256,184,315,499,46,53,35,78,193,603,.543,.545,.000,.668
Billy Owens,GSW,.610,5.7,79,72,2738,492,971,489,956,3,15,199,326,230,410,640,326,83,60,214,269,1186,.507,.512,.200,.610
Willie Anderson,SAS,.671,5.6,80,79,2488,394,837,372,769,22,68,145,171,68,174,242,347,71,46,153,187,955,.471,.484,.324,.848
Don MacLean,WSB,.293,5.6,75,69,2487,517,1030,514,1009,3,21,328,398,140,327,467,160,47,22,152,169,1365,.502,.509,.143,.824
Micheal Williams,MIN,.244,5.6,71,66,2206,314,687,304,642,10,45,333,397,67,154,221,512,118,24,203,193,971,.457,.474,.222,.839
Greg Anthony,NYK,.695,5.5,80,36,1994,225,571,177,411,48,160,130,168,43,146,189,365,114,13,127,163,628,.394,.431,.300,.774
Cedric Ceballos,PHO,.683,5.5,53,43,1602,425,795,425,786,0,9,160,221,153,191,344,91,59,23,93,124,1010,.535,.541,.000,.724
