Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Chris Paul,NOH,.683,17.8,80,80,3006,630,1291,538,1042,92,249,332,390,62,259,321,925,217,4,201,185,1684,.488,.516,.369,.851
LeBron James,CLE,.549,15.2,75,74,3027,794,1642,681,1283,113,359,549,771,133,459,592,539,138,81,255,165,2250,.484,.531,.315,.712
Amar'e Stoudemire,PHO,.671,14.6,79,79,2677,714,1211,709,1180,5,31,556,691,178,541,719,118,64,163,174,294,1989,.590,.601,.161,.805
Kobe Bryant,LAL,.695,13.8,82,82,3192,775,1690,625,1275,150,415,623,742,94,423,517,441,151,40,257,227,2323,.459,.490,.361,.840
Chauncey Billups,DET,.720,13.5,78,78,2522,393,877,256,535,137,342,401,437,42,170,212,529,101,17,160,130,1324,.448,.479,.401,.918
Kevin Garnett,BOS,.805,12.9,71,71,2328,534,990,534,979,0,11,269,336,135,520,655,244,100,89,138,163,1337,.539,.545,.000,.801
Dwight Howard,ORL,.634,12.9,82,82,3088,583,974,583,970,0,4,529,897,279,882,1161,110,74,176,263,274,1695,.599,.601,.000,.590
Dirk Nowitzki,DAL,.622,12.9,77,77,2769,630,1314,551,1094,79,220,478,544,95,564,659,266,51,71,160,198,1817,.479,.504,.359,.879
Paul Pierce,BOS,.805,12.4,80,80,2874,509,1098,366,733,143,365,409,485,53,358,411,363,101,36,221,200,1570,.464,.499,.392,.843
Allen Iverson,DEN,.610,11.6,82,82,3424,712,1556,617,1281,95,275,645,797,47,196,243,586,160,12,245,109,2164,.458,.482,.345,.809
Deron Williams,UTA,.659,11.3,82,82,3059,566,1117,483,907,83,210,330,411,34,209,243,862,90,23,279,200,1545,.507,.533,.395,.803
Tim Duncan,SAS,.683,11.1,78,78,2651,585,1178,585,1174,0,4,338,463,237,644,881,218,56,152,178,185,1508,.497,.498,.000,.730
Manu Ginobili,SAS,.683,11.1,74,23,2299,453,984,297,595,156,389,380,442,63,291,354,332,109,33,200,173,1442,.460,.499,.401,.860
Steve Nash,PHO,.671,10.5,81,81,2780,485,962,306,581,179,381,222,245,28,254,282,898,53,5,295,113,1371,.504,.527,.470,.906
Carlos Boozer,UTA,.659,10.2,81,81,2827,709,1297,709,1296,0,1,290,393,197,647,844,233,100,41,210,293,1708,.547,.547,.000,.738
Jose Calderon,TOR,.500,10.2,82,56,2484,367,707,288,523,79,184,109,120,34,202,236,678,87,6,126,134,922,.519,.551,.429,.908
Chris Bosh,TOR,.500,10.1,67,67,2425,507,1027,497,1002,10,25,472,559,174,409,583,171,63,67,153,157,1496,.494,.496,.400,.844
Tyson Chandler,NOH,.683,10.0,79,79,2783,377,605,377,604,0,1,175,295,322,606,928,81,45,84,136,243,929,.623,.624,.000,.593
Rashard Lewis,ORL,.634,9.8,81,81,3076,516,1135,290,582,226,553,218,260,97,340,437,196,99,38,140,214,1476,.455,.498,.409,.838
Ray Allen,BOS,.805,9.7,73,73,2624,439,986,259,534,180,452,215,237,75,193,268,225,65,16,127,147,1273,.445,.485,.398,.907
Lamar Odom,LAL,.695,9.7,77,77,2921,417,795,386,682,31,113,229,328,197,622,819,273,75,72,156,222,1094,.525,.566,.274,.698
